datetime,value,characteristic_name,upper_tolerance,lower_tolerance,is_within_tolerance
2024-05-06 18:56:29,0.04617,"3 Scan1(54, 44.85000) M14/D",0.1,0.0,True
2024-05-06 18:56:29,120.37927,"3 Scan1(54, 44.85000) M22/W",121.0,119.0,True
2024-05-06 18:56:29,5.06153,"3 Scan1(54, 44.85000) M27_links/W",5.5,4.5,True
2024-05-06 18:56:29,5.35464,"3 Scan1(54, 44.85000) M27_rechts/W",5.5,4.5,True
2024-05-06 18:56:29,0.24299,"3 Scan1(54, 44.85000) M28_links/D",0.31,0.22,True
2024-05-06 18:56:29,0.2621,"3 Scan1(54, 44.85000) M28_rechts/D",0.31,0.22,True
2024-05-06 18:56:29,5.9769,"3 Scan1(54, 44.85000) M31_links/D",6.1,5.6,True
2024-05-06 18:56:29,5.90602,"3 Scan1(54, 44.85000) M31_rechts/D",6.1,5.6,True
2024-05-06 18:56:29,15.64985,"3 Scan1(54, 44.85000) M33_links/W",18.0,13.0,True
2024-05-06 18:56:29,16.24431,"3 Scan1(54, 44.85000) M33_rechts/W",18.0,13.0,True
2024-05-06 18:56:29,0.00243,"3 Scan1(54, 44.85000) M36_links/L",0.01,0.0,True
2024-05-06 18:56:29,0.00197,"3 Scan1(54, 44.85000) M36_rechts/L",0.01,0.0,True
